name,price,score,location,distance_from_center,facilities,cleanliness_rating,comfort_rating,location_rating,facilities_rating,staff_rating,value_for_money,free_wifi,url
Mew's Apartment,"EGP 183,633","Scored 9.3
9.3
Wonderful
3 reviews","Westminster Borough, London (Hyde Park)",1.4 km from downtown,,N/A,N/A,N/A,N/A,N/A,N/A,No,https://www.booking.com/hotel/gb/luxury-mayfair-apartment-greater-london6.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9sb25kb25IM1gEaEOIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuCkr8EGwAIB0gIkYjg1NTk2NmItNTFlZi00MDU0LWJkNjMtOTg1NmQ5MGE3ZDk22AIF4AIB&ucfs=1&arphpl=1&checkin=2025-05-21&checkout=2025-05-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=977b063047ad0a2a&srepoch=1747702384&all_sr_blocks=1391138901_412486312_2_0_0_919451&highlighted_blocks=1391138901_412486312_2_0_0_919451&matching_block_id=1391138901_412486312_2_0_0_919451&sr_pri_blocks=1391138901_412486312_2_0_0_919451_276140&from=searchresults
Jumeirah Carlton Tower London,"EGP 375,698","Scored 8.9
8.9
Excellent
251 reviews","Kensington and Chelsea, London (Belgravia)",2.4 km from downtown,,N/A,N/A,N/A,N/A,N/A,N/A,No,https://www.booking.com/hotel/gb/jumeirah-carlton-tower.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9sb25kb25IM1gEaEOIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuCkr8EGwAIB0gIkYjg1NTk2NmItNTFlZi00MDU0LWJkNjMtOTg1NmQ5MGE3ZDk22AIF4AIB&ucfs=1&arphpl=1&checkin=2025-05-21&checkout=2025-05-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=977b063047ad0a2a&srepoch=1747702384&all_sr_blocks=3400210_322884665_2_2_0_843212&highlighted_blocks=3400210_322884665_2_2_0_843212&matching_block_id=3400210_322884665_2_2_0_843212&sr_pri_blocks=3400210_322884665_2_2_0_843212_564960&nad_id=0832c21c-5ef8-4047-ab8c-d72c8991d421_1&nad_cpc=0.5&nad_track=eyJhdWN0aW9uRXBvY2giOjE3NDc3MDIzNjg3NjksInJhbmsiOjEsImtvZGRpVHJhY2tpbmdJbmZvIjoiVFp1U2g3cERGa0xaWXBBTnIvbzRGTmR6U0wrV0w3K1g1Sjh2c0kwRk56bTA5UUYvcklOZmRROXU1RmJvUzcxbThNL3gxNU43emhJWUVoMzVKREZxUmtBSzFHSXhrd1pFZzJuY2FTY3kvNmt4cEp2ZW1EUGoxVmUzWXZWK3FmUnVTQ1FxcG01aC9zcDBjRWhPRXVwbDFMT2Izdm5LR0FtbEhIUTJoMGRYejRKQWJHMzJYMFc5SUxvUWhiZ2c2T2loTzJtS01Td3kyM0RnTVNUa2UyVTQ0b0FtaUNqdUo4aVBueHJjdjI3RFg2MElLNlZYRlAzVkpDUFlJelpJeWN4WU9HNHlmU205Z2t3ZmczSDJBV0Q2TkNIelhkSjVuZGJES2ZRMG5vMFRDZ2JXZktoQkZkYnJ1MUFQdWw1Y3VOSXhDRVBNTStWemN0VlluczZObVlrYllIZmpPQ0EvSkE4dUtLQUY5ZjdubG94L3ZBdUlrUVFZWjR2ZGpFUHlUY0pNS256QXRLOThkRFJqelVxYnFEMW5CVEJpSmcxdm5GWm15RVlNN0xBWjhEZWpPY0xXbXduWkcvMDRMVVpZRzBoTTY3ZGNkbm9mWnAxYzVBdkpqMVVSWXA0MUc5RVIxdngwL2dGVy9oU01oY2FpODNnUXBKdE5UTWl4V0dPZnhlSlEvdytZMzVWZnZ3dTdmcHQvZGQ1em5NUDJpUU10ZXBiUTlkNTBJdUpmYWNiU0lkd0hMWkw3eWNXeDcxNEw1V0hrN2NxMmgwcjBWRG1GWGVHWHlCcGVMVEp5dEhuRk90N3FPaTd4MG1LMHQ3OTNsRmVteXoyY2IweXUvbVltMW0rVHFtSmVwTXU5V2ZDQ09zVjdiMWFmaEU3aUFubjgwSURzMzZRczRVdVNxT0JmL3RSRE1EZFdreHJJeWROeXZtajQvblJ3bmNVOTBPaERzc3Bmdk5UelZyZEhuVlpjNGh1ZUVhanFOTzBnU3NjRTlpRW9EejY1U1NIZGgxSTRscHZHVTV6dlpKRURtT3lQSUU1bnBCTnc2M1graUJqNjIwS1BveDZBSEdTMFR2b09FeHZKUkhQSU5na0d4NE5WYWYvTnNQdVZQZnllMCtJU3RnVklEZmJwa0lUbGNVTDgrMVk3U2hxTU9rblVvdlBRWXQ2UnkxWHFoNTRNWXlDRHpGWGxQNTBNUVBwWnJCRTdFaXB0clBlOG9qZysrUUxXZDRBc29UZzljQkVqVWdiNVlOUHVGeDNTWDROcHQ0SEFEU3NFVGlBYUZVRXJaZytVdjQ4UU5ZYkcvd2Y0cnZxRlNxNXBDR3RmV3I2ekI4SjVrL001TUh5QUJjd2czOEhacU1rY3JLd0NjQmVyWktIcldkbWZzMlF2ckg2dVdrWDF2STdEWURUZzJVWFN2blFQKzJRaE8xYjViQy9UaTBpcXdSMTJ1L2MwVVdkMjROZFY0ZGpZRkNtYnZKNjk0Y2VMT1VTd1ZmOUpGSTJLMDdnVDVzTG14dm9lV1pDdmdHWWZzWmZlbGw1Mk9CQ3NZSWhHU0dQQThrR0ZzUzFhVGg2cHVSOEZzVnBCKy9pcURaMXhaK1NyeGUrd0FoVm1WRlpPQ0dRT0xQci9hVEd2ZzhoUHBWdy9HSDdxYkZmUzhwS1BiZi9LeGNvaEoyMHpRaUZBRTlTZVg0S2ExZGIrMEdhN2pGeERIcmh1bjVydDkzY2hKNllWQUl6UzhnR3lYN2c5N2xxaXNnQkxockhGeDE5WHp6cEdXZnFxbnNMWXNicy9jenhvYWVlNmtXRmVhQnloQUV5NzZuU2hORDFNcmt0OFE0VzF0SG00SG1ISHU0Y2R5eW0xUEhIdXA4UkppeDZkUGx4NWNhUHJGZDdJRnhDUU5neUJybVhqeE44bWNZb0hWODJQQTFEZ1RXUElvVGNHSkxBSlBXVENPUk1lZkdyUHE0T3VqbE9PRG1IVS8xUUloR0JYa1RKZTdnNGtVUWFYNXNoWmJseUNvbHMrRzJlRFRiSnRuYzRDUVZuU1ZLSjNWNExNbG43M2dJOUF0TExacy95TkkrM2xSdmVuZm1oRTFlVk1IWFJ6YUFOLzEycjhxK29tSlN1NThTY3E1cm8yZDV6Smg4VVhMRHBhUThQTkV1VFhqQWgvQmMwSWFFeG9qNDJrSW9ZUE5RZlpkcG13QjEvcXFrZVZxSThQdFdqcitteEd6ZjJ5UGV5UmF5bE9oK2pneHhoa3A3cGo1cVp1ODVmaFpjMGNOSXVpK1MzWUEvRlBJUmRVNnZxcHczdFR4aGcwT2hNbEp5cW52NGFoLzdndndEbEFkWVl3ZHZXYjhaOUt3Wk42eTU2S0hzS2lucTNmYWx4cGxXYVZRRjVLN2NNQzZybDdINXkvbi8rSVp3dndLV214VmgzRlRvcHlYRVU1T0YzdzBJSmcxOU9Nekg3dlAwOXE5dzNDVmpMVlNObjA5L1IrMWl6dlcrNDRLaGs4blFCZUlQZFVkbVlLRG1Lcmg3QWlxK3dxU2V2aXVFbXYxWThBS0M3YS96Z0FOcTFkTHlUUDdYaExMdWFpRGRyS3RlelZaZXBadVhOalZNQTlpRytka0RYNEpNTUJrR0RWcGIvSjI4WmwwYUtsMkVzV2hNUmI3VkhreVh6bnM3TW1oM2txempVcnlBc2t5RGh5T0pBM1JqbTZ2cEJzVEVzUVZ0MnBWRHZiZktrd0dtY2VTMEJSUEQrZWFuZk5FdW14RnJVMVhIV1doMFNydnVJME9ZOUlXWmk0L3VJR2YwNTJPY040dUl5dkhLK0NGMGVoRVRKK3A4MFhFVGhJWXRISkJKM3BTNHhoZWpmb1NuMnVkNlVHZU1IOFo0NHNSZFBYK1JpVm1xaU9ERThMbHVYZXlRMHBrenhGMUdzeEp1RERWMGxnTWtGMWFpdTE0NHZUVGk5RUxMKzNRU0VaUVB3UUNHd01jRW9Lazh3dkhJa2luZ3pZMWNRdmlDZlF4dXZQOEJHNmdYQzM5eHllWHdpZ08xSHNJemplcmJZS1NnWFRTVlVxRzBZbTR0Ni9iSnJleGVtcTFDbTJBb1BDbzVMSGlkRVo5YlNLUVljQ1JLZEZIdEFjR1JWTUVVZmkzSUZEdGZPZmg0cm5ZVTRlZ3doMVh4alRsQm5aYU4yWnZ0WDBabEdEUmF4UldPZXJTRmcyTUg5SVpJS1BVRzMzd3drNXNrcHBkSFpuRE9VeEU2TXMweFZqc2o2eXFaMWVUQlZMOVVzWW16OWhDck1sZUtMNVFYZWE5SXBKaG8yU0NDR25MZ0FBZlFKSjJOTGFFRDVKeGVLY2V4Mzlobmx0TXhCaTU3ajNxNWlrSGkwZkJPbjdtVDBlZmsvSHh1a2IrUkZKV3hCY003L05DWU5lN3hERTkrVDZGVUJ5Q091MWR2Tmd6TDd3NFJwRmFpcnNDckpLUFdReWVpcW1JdGNHQzJNdTZId0xmT0liczFTRjVYVlVYRktPNmxKQXZuVU81eVI5SjNjPSJ9&from=searchresults
Four Points Flex by Sheraton London Euston,"EGP 79,780","Scored 7.5
7.5
Good
835 reviews","Camden, London (Kings Cross St. Pancras)",2.1 km from downtown,,N/A,N/A,N/A,N/A,N/A,N/A,No,https://www.booking.com/hotel/gb/sheraton-express-london-euston.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9sb25kb25IM1gEaEOIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuCkr8EGwAIB0gIkYjg1NTk2NmItNTFlZi00MDU0LWJkNjMtOTg1NmQ5MGE3ZDk22AIF4AIB&ucfs=1&arphpl=1&checkin=2025-05-21&checkout=2025-05-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=977b063047ad0a2a&srepoch=1747702384&all_sr_blocks=693184208_393313507_0_2_0&highlighted_blocks=693184208_393313507_0_2_0&matching_block_id=693184208_393313507_0_2_0&sr_pri_blocks=693184208_393313507_0_2_0__119970&from=searchresults
Courtyard by Marriott London City Airport,"EGP 51,022","Scored 8.6
8.6
Excellent
3,959 reviews","Newham, London (East End)",11.8 km from downtown,,N/A,N/A,N/A,N/A,N/A,N/A,No,https://www.booking.com/hotel/gb/courtyard-by-marriott-london-city-airport.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9sb25kb25IM1gEaEOIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuCkr8EGwAIB0gIkYjg1NTk2NmItNTFlZi00MDU0LWJkNjMtOTg1NmQ5MGE3ZDk22AIF4AIB&ucfs=1&arphpl=1&checkin=2025-05-21&checkout=2025-05-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=977b063047ad0a2a&srepoch=1747702384&all_sr_blocks=652278601_266280963_0_42_0&highlighted_blocks=652278601_266280963_0_42_0&matching_block_id=652278601_266280963_0_42_0&sr_pri_blocks=652278601_266280963_0_42_0__76725&from_sustainable_property_sr=1&from=searchresults
Moxy London Excel,"EGP 55,488","Scored 8.5
8.5
Very Good
3,785 reviews","Newham, London (Beckton)",11.8 km from downtown,,N/A,N/A,N/A,N/A,N/A,N/A,No,https://www.booking.com/hotel/gb/moxy-london-excel.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9sb25kb25IM1gEaEOIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuCkr8EGwAIB0gIkYjg1NTk2NmItNTFlZi00MDU0LWJkNjMtOTg1NmQ5MGE3ZDk22AIF4AIB&ucfs=1&arphpl=1&checkin=2025-05-21&checkout=2025-05-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=977b063047ad0a2a&srepoch=1747702384&all_sr_blocks=205600601_274565004_0_2_0_749411&highlighted_blocks=205600601_274565004_0_2_0_749411&matching_block_id=205600601_274565004_0_2_0_749411&sr_pri_blocks=205600601_274565004_0_2_0_749411_83440&from=searchresults
Hampton by Hilton London Park Royal,"EGP 75,011","Scored 8.4
8.4
Very Good
3,933 reviews","Ealing, London",11.2 km from downtown,,N/A,N/A,N/A,N/A,N/A,N/A,No,https://www.booking.com/hotel/gb/hampton-by-hilton-london-park-royal.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9sb25kb25IM1gEaEOIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuCkr8EGwAIB0gIkYjg1NTk2NmItNTFlZi00MDU0LWJkNjMtOTg1NmQ5MGE3ZDk22AIF4AIB&ucfs=1&arphpl=1&checkin=2025-05-21&checkout=2025-05-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=977b063047ad0a2a&srepoch=1747702384&all_sr_blocks=615554004_242710235_2_41_0_949143&highlighted_blocks=615554004_242710235_2_41_0_949143&matching_block_id=615554004_242710235_2_41_0_949143&sr_pri_blocks=615554004_242710235_2_41_0_949143_112798&from_sustainable_property_sr=1&from=searchresults
Four Points Flex by Sheraton London Shoreditch East,"EGP 47,414","Scored 7.9
7.9
Good
5,008 reviews","Tower Hamlets, London (East End)",5.5 km from downtown,,N/A,N/A,N/A,N/A,N/A,N/A,No,https://www.booking.com/hotel/gb/yotel-london-shoreditch.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9sb25kb25IM1gEaEOIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuCkr8EGwAIB0gIkYjg1NTk2NmItNTFlZi00MDU0LWJkNjMtOTg1NmQ5MGE3ZDk22AIF4AIB&ucfs=1&arphpl=1&checkin=2025-05-21&checkout=2025-05-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=977b063047ad0a2a&srepoch=1747702384&all_sr_blocks=378876111_404751491_0_2_0&highlighted_blocks=378876111_404751491_0_2_0&matching_block_id=378876111_404751491_0_2_0&sr_pri_blocks=378876111_404751491_0_2_0__71300&from_sustainable_property_sr=1&from=searchresults
DoubleTree by Hilton London Ealing,"EGP 71,422","Scored 7.9
7.9
Good
1,902 reviews","Ealing, London",11.3 km from downtown,,N/A,N/A,N/A,N/A,N/A,N/A,No,https://www.booking.com/hotel/gb/jarvis-ealing.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9sb25kb25IM1gEaEOIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuCkr8EGwAIB0gIkYjg1NTk2NmItNTFlZi00MDU0LWJkNjMtOTg1NmQ5MGE3ZDk22AIF4AIB&ucfs=1&arphpl=1&checkin=2025-05-21&checkout=2025-05-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=977b063047ad0a2a&srepoch=1747702384&all_sr_blocks=6836_244919329_2_42_0&highlighted_blocks=6836_244919329_2_42_0&matching_block_id=6836_244919329_2_42_0&sr_pri_blocks=6836_244919329_2_42_0__107401&from_sustainable_property_sr=1&from=searchresults
Moxy London Stratford,"EGP 78,337","Scored 8.3
8.3
Very Good
4,924 reviews","Newham, London (Stratford)",9.6 km from downtown,,N/A,N/A,N/A,N/A,N/A,N/A,No,https://www.booking.com/hotel/gb/moxy-london-stratford.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9sb25kb25IM1gEaEOIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuCkr8EGwAIB0gIkYjg1NTk2NmItNTFlZi00MDU0LWJkNjMtOTg1NmQ5MGE3ZDk22AIF4AIB&ucfs=1&arphpl=1&checkin=2025-05-21&checkout=2025-05-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=977b063047ad0a2a&srepoch=1747702384&all_sr_blocks=259841101_274565003_0_2_0_749408&highlighted_blocks=259841101_274565003_0_2_0_749408&matching_block_id=259841101_274565003_0_2_0_749408&sr_pri_blocks=259841101_274565003_0_2_0_749408_117800&from_sustainable_property_sr=1&from=searchresults
City View Hotel,"EGP 33,449","Scored 4.8
4.8
Review score
871 reviews","Tower Hamlets, London (East End)",5.4 km from downtown,,N/A,N/A,N/A,N/A,N/A,N/A,No,https://www.booking.com/hotel/gb/cityinnhotel.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9sb25kb25IM1gEaEOIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuCkr8EGwAIB0gIkYjg1NTk2NmItNTFlZi00MDU0LWJkNjMtOTg1NmQ5MGE3ZDk22AIF4AIB&ucfs=1&arphpl=1&checkin=2025-05-21&checkout=2025-05-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=977b063047ad0a2a&srepoch=1747702384&all_sr_blocks=96653_362701469_0_0_0&highlighted_blocks=96653_362701469_0_0_0&matching_block_id=96653_362701469_0_0_0&sr_pri_blocks=96653_362701469_0_0_0__50300&from=searchresults
City View Hotel Stratford,"EGP 27,039","Scored 4.6
4.6
Review score
760 reviews","Newham, London (West Ham)",9.9 km from downtown,,N/A,N/A,N/A,N/A,N/A,N/A,No,https://www.booking.com/hotel/gb/kings-head-guest-house.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9sb25kb25IM1gEaEOIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuCkr8EGwAIB0gIkYjg1NTk2NmItNTFlZi00MDU0LWJkNjMtOTg1NmQ5MGE3ZDk22AIF4AIB&ucfs=1&arphpl=1&checkin=2025-05-21&checkout=2025-05-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=977b063047ad0a2a&srepoch=1747702384&all_sr_blocks=3824506_402178661_0_2_0&highlighted_blocks=3824506_402178661_0_2_0&matching_block_id=3824506_402178661_0_2_0&sr_pri_blocks=3824506_402178661_0_2_0__40660&from=searchresults
Elmwood Hotel,"EGP 56,234","Scored 6.2
6.2
Review score
2,366 reviews","Camden, London (Kings Cross St. Pancras)",2.4 km from downtown,,N/A,N/A,N/A,N/A,N/A,N/A,No,https://www.booking.com/hotel/gb/elmwood.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9sb25kb25IM1gEaEOIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuCkr8EGwAIB0gIkYjg1NTk2NmItNTFlZi00MDU0LWJkNjMtOTg1NmQ5MGE3ZDk22AIF4AIB&ucfs=1&arphpl=1&checkin=2025-05-21&checkout=2025-05-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=977b063047ad0a2a&srepoch=1747702384&all_sr_blocks=4855902_0_2_0_0&highlighted_blocks=4855902_0_2_0_0&matching_block_id=4855902_0_2_0_0&sr_pri_blocks=4855902_0_2_0_0__84563&from=searchresults
Residence Inn by Marriott London Kensington,"EGP 74,441","Scored 8.1
8.1
Very Good
3,528 reviews","Kensington and Chelsea, London (Kensington)",5.4 km from downtown,,N/A,N/A,N/A,N/A,N/A,N/A,No,https://www.booking.com/hotel/gb/residence-inn-kensington.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9sb25kb25IM1gEaEOIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuCkr8EGwAIB0gIkYjg1NTk2NmItNTFlZi00MDU0LWJkNjMtOTg1NmQ5MGE3ZDk22AIF4AIB&ucfs=1&arphpl=1&checkin=2025-05-21&checkout=2025-05-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=977b063047ad0a2a&srepoch=1747702384&all_sr_blocks=3845611_88651763_2_1_0&highlighted_blocks=3845611_88651763_2_1_0&matching_block_id=3845611_88651763_2_1_0&sr_pri_blocks=3845611_88651763_2_1_0__111942&from_sustainable_property_sr=1&from=searchresults
Hilton London Olympia,"EGP 70,356","Scored 7.3
7.3
Good
3,796 reviews","Kensington and Chelsea, London (Kensington)",5.6 km from downtown,,N/A,N/A,N/A,N/A,N/A,N/A,No,https://www.booking.com/hotel/gb/londonolympia.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9sb25kb25IM1gEaEOIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuCkr8EGwAIB0gIkYjg1NTk2NmItNTFlZi00MDU0LWJkNjMtOTg1NmQ5MGE3ZDk22AIF4AIB&ucfs=1&arphpl=1&checkin=2025-05-21&checkout=2025-05-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=977b063047ad0a2a&srepoch=1747702384&all_sr_blocks=3489705_244917008_2_42_0&highlighted_blocks=3489705_244917008_2_42_0&matching_block_id=3489705_244917008_2_42_0&sr_pri_blocks=3489705_244917008_2_42_0__105798&from_sustainable_property_sr=1&from=searchresults
Hilton London Kensington Hotel,"EGP 77,538","Scored 7.1
7.1
Good
4,662 reviews","Kensington and Chelsea, London (Kensington)",6 km from downtown,,N/A,N/A,N/A,N/A,N/A,N/A,No,https://www.booking.com/hotel/gb/hilton-london-kensington.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9sb25kb25IM1gEaEOIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuCkr8EGwAIB0gIkYjg1NTk2NmItNTFlZi00MDU0LWJkNjMtOTg1NmQ5MGE3ZDk22AIF4AIB&ucfs=1&arphpl=1&checkin=2025-05-21&checkout=2025-05-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=977b063047ad0a2a&srepoch=1747702384&all_sr_blocks=3653606_244921020_2_42_0&highlighted_blocks=3653606_244921020_2_42_0&matching_block_id=3653606_244921020_2_42_0&sr_pri_blocks=3653606_244921020_2_42_0__116599&from_sustainable_property_sr=1&from=searchresults
Aloft London Excel,"EGP 81,662","Scored 8.5
8.5
Very Good
5,106 reviews","Newham, London (East End)",11.3 km from downtown,,N/A,N/A,N/A,N/A,N/A,N/A,No,https://www.booking.com/hotel/gb/aloft-london-excel.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9sb25kb25IM1gEaEOIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuCkr8EGwAIB0gIkYjg1NTk2NmItNTFlZi00MDU0LWJkNjMtOTg1NmQ5MGE3ZDk22AIF4AIB&ucfs=1&arphpl=1&checkin=2025-05-21&checkout=2025-05-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=977b063047ad0a2a&srepoch=1747702384&all_sr_blocks=32806004_274564987_0_2_0&highlighted_blocks=32806004_274564987_0_2_0&matching_block_id=32806004_274564987_0_2_0&sr_pri_blocks=32806004_274564987_0_2_0__122800&from_sustainable_property_sr=1&from=searchresults
Antoinette Hotel Wimbledon,"EGP 44,589","Scored 8.4
8.4
Very Good
1,683 reviews","Wimbledon, London (Wimbledon)",10.8 km from downtown,,N/A,N/A,N/A,N/A,N/A,N/A,No,https://www.booking.com/hotel/gb/wayfairer.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9sb25kb25IM1gEaEOIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuCkr8EGwAIB0gIkYjg1NTk2NmItNTFlZi00MDU0LWJkNjMtOTg1NmQ5MGE3ZDk22AIF4AIB&ucfs=1&arphpl=1&checkin=2025-05-21&checkout=2025-05-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=977b063047ad0a2a&srepoch=1747702384&all_sr_blocks=3495405_0_2_0_0&highlighted_blocks=3495405_0_2_0_0&matching_block_id=3495405_0_2_0_0&sr_pri_blocks=3495405_0_2_0_0__67051&from=searchresults
Hilton London Metropole,"EGP 116,575","Scored 7.7
7.7
Good
7,226 reviews","Westminster Borough, London (Paddington)",3.2 km from downtown,,N/A,N/A,N/A,N/A,N/A,N/A,No,https://www.booking.com/hotel/gb/hilton-london-metropole.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9sb25kb25IM1gEaEOIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuCkr8EGwAIB0gIkYjg1NTk2NmItNTFlZi00MDU0LWJkNjMtOTg1NmQ5MGE3ZDk22AIF4AIB&ucfs=1&arphpl=1&checkin=2025-05-21&checkout=2025-05-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=977b063047ad0a2a&srepoch=1747702384&all_sr_blocks=3386424_246030103_2_34_0&highlighted_blocks=3386424_246030103_2_34_0&matching_block_id=3386424_246030103_2_34_0&sr_pri_blocks=3386424_246030103_2_34_0__175301&from_sustainable_property_sr=1&from=searchresults
Harrods Hideaway 3 Bedroom Flat,"EGP 279,433","Scored 9.4
9.4
Wonderful
9 reviews","Kensington and Chelsea, London (South Kensington)",2.7 km from downtown,,N/A,N/A,N/A,N/A,N/A,N/A,No,https://www.booking.com/hotel/gb/harrods-hideaway-3-bedroom-flat.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9sb25kb25IM1gEaEOIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuCkr8EGwAIB0gIkYjg1NTk2NmItNTFlZi00MDU0LWJkNjMtOTg1NmQ5MGE3ZDk22AIF4AIB&ucfs=1&arphpl=1&checkin=2025-05-21&checkout=2025-05-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=977b063047ad0a2a&srepoch=1747702384&all_sr_blocks=915411201_392226726_7_0_0&highlighted_blocks=915411201_392226726_7_0_0&matching_block_id=915411201_392226726_7_0_0&sr_pri_blocks=915411201_392226726_7_0_0__420200&from=searchresults
Clayton Hotel Chiswick,"EGP 76,408","Scored 8.5
8.5
Very Good
4,879 reviews","Chiswick, London",10.6 km from downtown,,N/A,N/A,N/A,N/A,N/A,N/A,No,https://www.booking.com/hotel/gb/chiswickmoranhotel.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9sb25kb25IM1gEaEOIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuCkr8EGwAIB0gIkYjg1NTk2NmItNTFlZi00MDU0LWJkNjMtOTg1NmQ5MGE3ZDk22AIF4AIB&ucfs=1&arphpl=1&checkin=2025-05-21&checkout=2025-05-28&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=977b063047ad0a2a&srepoch=1747702384&all_sr_blocks=136269_335680224_2_2_0&highlighted_blocks=136269_335680224_2_2_0&matching_block_id=136269_335680224_2_2_0&sr_pri_blocks=136269_335680224_2_2_0__114900&from_sustainable_property_sr=1&from=searchresults
